            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2462240.170138889, A.D. 2029-Apr-13 16:05:00.0000, -1.236524497805834E+05, -4.991648572803988E+04, -3.150214039491799E+04,  4.552260639451205E+00,  4.018072479096812E+00,  1.753587316162734E+00,
2462240.170833333, A.D. 2029-Apr-13 16:06:00.0000, -1.233792796273828E+05, -4.967538745869444E+04, -3.139691635476946E+04,  4.553412219958444E+00,  4.018536732287034E+00,  1.753880909541905E+00,
2462240.171527778, A.D. 2029-Apr-13 16:07:00.0000, -1.231060401833951E+05, -4.943426129204965E+04, -3.129167465919184E+04,  4.554570341499700E+00,  4.019002389752306E+00,  1.754175831898769E+00,
2462240.172222222, A.D. 2029-Apr-13 16:08:00.0000, -1.228327310545444E+05, -4.919310714375350E+04, -3.118641522820005E+04,  4.555735057980472E+00,  4.019469453707326E+00,  1.754472091642229E+00,
2462240.172916667, A.D. 2029-Apr-13 16:09:00.0000, -1.225593518434763E+05, -4.895192492938085E+04, -3.108113798128442E+04,  4.556906423877729E+00,  4.019937926290862E+00,  1.754769697243312E+00,
2462240.173611111, A.D. 2029-Apr-13 16:10:00.0000, -1.222859021495879E+05, -4.871071456434311E+04, -3.097584283744586E+04,  4.558084494247195E+00,  4.020407809563506E+00,  1.755068657235543E+00,
2462240.174305555, A.D. 2029-Apr-13 16:11:00.0000, -1.220123815689981E+05, -4.846947596394528E+04, -3.087052971515888E+04,  4.559269324730685E+00,  4.020879105505250E+00,  1.755368980215364E+00,
2462240.175000000, A.D. 2029-Apr-13 16:12:00.0000, -1.217387896943390E+05, -4.822820904334639E+04, -3.076519853239284E+04,  4.560460971563593E+00,  4.021351816013016E+00,  1.755670674842549E+00,
2462240.175694444, A.D. 2029-Apr-13 16:13:00.0000, -1.214651261149645E+05, -4.798691371765528E+04, -3.065984920657040E+04,  4.561659491582452E+00,  4.021825942898149E+00,  1.755973749840624E+00,
2462240.176388889, A.D. 2029-Apr-13 16:14:00.0000, -1.211913904167712E+05, -4.774558990180213E+04, -3.055448165462732E+04,  4.562864942232656E+00,  4.022301487883809E+00,  1.756278213997267E+00,
2462240.177083333, A.D. 2029-Apr-13 16:15:00.0000, -1.209175821821690E+05, -4.750423751066098E+04, -3.044909579293897E+04,  4.564077381576221E+00,  4.022778452602383E+00,  1.756584076164719E+00,
2462240.177777778, A.D. 2029-Apr-13 16:16:00.0000, -1.206437009900510E+05, -4.726285645902292E+04, -3.034369153735232E+04,  4.565296868299717E+00,  4.023256838592713E+00,  1.756891345260190E+00,
2462240.178472222, A.D. 2029-Apr-13 16:17:00.0000, -1.203697464158535E+05, -4.702144666153402E+04, -3.023826880319251E+04,  4.566523461722294E+00,  4.023736647297333E+00,  1.757200030266269E+00,
2462240.179166667, A.D. 2029-Apr-13 16:18:00.0000, -1.200957180313468E+05, -4.678000803283262E+04, -3.013282750522366E+04,  4.567757221803841E+00,  4.024217880059667E+00,  1.757510140231330E+00,
2462240.179861111, A.D. 2029-Apr-13 16:19:00.0000, -1.198216154047251E+05, -4.653854048739538E+04, -3.002736755768719E+04,  4.568998209153211E+00,  4.024700538121051E+00,  1.757821684269924E+00,
2462240.180555556, A.D. 2029-Apr-13 16:20:00.0000, -1.195474381004870E+05, -4.629704393968532E+04, -2.992188887424975E+04,  4.570246485036662E+00,  4.025184622617783E+00,  1.758134671563194E+00,
2462240.181250000, A.D. 2029-Apr-13 16:21:00.0000, -1.192731856795251E+05, -4.605551830408399E+04, -2.981639136805306E+04,  4.571502111386312E+00,  4.025670134578039E+00,  1.758449111359260E+00,
2462240.181944444, A.D. 2029-Apr-13 16:22:00.0000, -1.189988576989174E+05, -4.581396349491085E+04, -2.971087495166476E+04,  4.572765150809168E+00,  4.026157074918913E+00,  1.758765012973742E+00,
2462240.182638889, A.D. 2029-Apr-13 16:23:00.0000, -1.187244537113309E+05, -4.557237942738469E+04, -2.960533953701088E+04,  4.574035666595430E+00,  4.026645444442960E+00,  1.759082385789872E+00,
2462240.183333333, A.D. 2029-Apr-13 16:24:00.0000, -1.184499732675254E+05, -4.533076601386472E+04, -2.949978503567775E+04,  4.575313722725438E+00,  4.027135243834214E+00,  1.759401239258767E+00,
2462240.184027778, A.D. 2029-Apr-13 16:25:00.0000, -1.181754159125388E+05, -4.508912316948438E+04, -2.939421135849554E+04,  4.576599383883460E+00,  4.027626473656619E+00,  1.759721582900617E+00,
2462240.184722222, A.D. 2029-Apr-13 16:26:00.0000, -1.179007811880708E+05, -4.484745080836768E+04, -2.928861841574545E+04,  4.577892715463069E+00,  4.028119134349153E+00,  1.760043426304314E+00,
2462240.185416667, A.D. 2029-Apr-13 16:27:00.0000, -1.176260686319470E+05, -4.460574884469590E+04, -2.918300611714782E+04,  4.579193783577423E+00,  4.028613226222634E+00,  1.760366779128060E+00,
2462240.186111111, A.D. 2029-Apr-13 16:28:00.0000, -1.173512777779996E+05, -4.436401719255409E+04, -2.907737437186384E+04,  4.580502655068733E+00,  4.029108749456078E+00,  1.760691651099730E+00,
2462240.186805556, A.D. 2029-Apr-13 16:29:00.0000, -1.170764081559777E+05, -4.412225576608586E+04, -2.897172308844053E+04,  4.581819397517780E+00,  4.029605704093005E+00,  1.761018052017268E+00,
2462240.187500000, A.D. 2029-Apr-13 16:30:00.0000, -1.168014592915177E+05, -4.388046447939765E+04, -2.886605217485226E+04,  4.583144079253644E+00,  4.030104090037645E+00,  1.761345991749011E+00,
2462240.188194444, A.D. 2029-Apr-13 16:31:00.0000, -1.165264307063222E+05, -4.363864324663103E+04, -2.876036153846134E+04,  4.584476769363540E+00,  4.030603907050937E+00,  1.761675480234085E+00,
2462240.188888889, A.D. 2029-Apr-13 16:32:00.0000, -1.162513219176829E+05, -4.339679198189577E+04, -2.865465108605102E+04,  4.585817537702802E+00,  4.031105154746624E+00,  1.762006527482748E+00,
2462240.189583333, A.D. 2029-Apr-13 16:33:00.0000, -1.159761324388385E+05, -4.315491059940330E+04, -2.854892072379614E+04,  4.587166454905018E+00,  4.031607832587090E+00,  1.762339143576724E+00,
2462240.190277778, A.D. 2029-Apr-13 16:34:00.0000, -1.157008617787063E+05, -4.291299901335408E+04, -2.844317035724687E+04,  4.588523592392347E+00,  4.032111939879148E+00,  1.762673338669579E+00,
2462240.190972222, A.D. 2029-Apr-13 16:35:00.0000, -1.154255094419122E+05, -4.267105713801215E+04, -2.833739989136959E+04,  4.589889022385911E+00,  4.032617475769756E+00,  1.763009122987026E+00,
2462240.191666667, A.D. 2029-Apr-13 16:36:00.0000, -1.151500749287307E+05, -4.242908488768296E+04, -2.823160923049557E+04,  4.591262817916418E+00,  4.033124439241584E+00,  1.763346506827272E+00,
2462240.192361111, A.D. 2029-Apr-13 16:37:00.0000, -1.148745577350259E+05, -4.218708217672953E+04, -2.812579827835858E+04,  4.592645052834916E+00,  4.033632829108470E+00,  1.763685500561336E+00,
2462240.193055556, A.D. 2029-Apr-13 16:38:00.0000, -1.145989573521614E+05, -4.194504891963300E+04, -2.801996693802808E+04,  4.594035801823692E+00,  4.034142644010789E+00,  1.764026114633367E+00,
2462240.193750000, A.D. 2029-Apr-13 16:39:00.0000, -1.143232732670307E+05, -4.170298503093654E+04, -2.791411511198631E+04,  4.595435140407350E+00,  4.034653882410696E+00,  1.764368359560950E+00,
2462240.194444444, A.D. 2029-Apr-13 16:40:00.0000, -1.140475049620271E+05, -4.146089042526962E+04, -2.780824270205279E+04,  4.596843144964053E+00,  4.035166542587231E+00,  1.764712245935413E+00,
2462240.195138889, A.D. 2029-Apr-13 16:41:00.0000, -1.137716519148052E+05, -4.121876501739508E+04, -2.770234960943703E+04,  4.598259892736920E+00,  4.035680622631377E+00,  1.765057784422088E+00,
2462240.195833333, A.D. 2029-Apr-13 16:42:00.0000, -1.134957135984898E+05, -4.097660872216446E+04, -2.759643573467263E+04,  4.599685461845597E+00,  4.036196120440850E+00,  1.765404985760639E+00,
2462240.196527778, A.D. 2029-Apr-13 16:43:00.0000, -1.132196894814372E+05, -4.073442145457631E+04, -2.749050097767717E+04,  4.601119931298580E+00,  4.036713033715080E+00,  1.765753860765379E+00,
2462240.197222222, A.D. 2029-Apr-13 16:44:00.0000, -1.129435790271759E+05, -4.049220312980939E+04, -2.738454523769737E+04,  4.602563381002849E+00,  4.037231359949163E+00,  1.766104420325198E+00,
2462240.197916667, A.D. 2029-Apr-13 16:45:00.0000, -1.126673816944957E+05, -4.024995366314972E+04, -2.727856841332841E+04,  4.604015891779396E+00,  4.037751096429293E+00,  1.766456675404339E+00,
2462240.198611111, A.D. 2029-Apr-13 16:46:00.0000, -1.123910969373286E+05, -4.000767297005039E+04, -2.717257040252056E+04,  4.605477545373232E+00,  4.038272240226508E+00,  1.766810637042281E+00,
2462240.199305556, A.D. 2029-Apr-13 16:47:00.0000, -1.121147242045999E+05, -3.976536096619541E+04, -2.706655110253924E+04,  4.606948424466404E+00,  4.038794788191014E+00,  1.767166316354065E+00,
2462240.200000000, A.D. 2029-Apr-13 16:48:00.0000, -1.118382629402280E+05, -3.952301756741714E+04, -2.696051040998062E+04,  4.608428612690668E+00,  4.039318736946276E+00,  1.767523724530496E+00,
